#,brand,domain,employee_band,revenue_est,funding_total,valuation_est,confidence,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
101,Breguet,breguet.com,250-1k,unknown (subsidiary of Swatch Group),n/a (subsidiary of public Swatch Group),unknown,low,5,Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Swatch Group haute horlogerie
102,BYD,byd.com,20k+,~$107B (2024),n/a (public),~$120B mkt cap,high,5,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group,"Energy, Industrial & Automotive",Chinese EV automaker
103,Caesars Entertainment,caesars.com,20k+,~$11.2B (2024),n/a (public),~$7B mkt cap,high,5,Hard Rock International; The Venetian Resort (Apollo); MGM Rewards (MGM Resorts); Betway (Super Group); FanDuel (Flutter Entertainment),"Travel, Logistics & Property; Health, Betting & Services",Casino/resort/entertainment rival
104,Cohesity,cohesity.com,1k-5k,unknown,~$960M raised (pre-merger),"~$7B (2024, post-Veritas merger)",medium,5,Hewlett Packard Enterprise; Rubrik; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",data security/backup rival
105,ConocoPhillips,conocophillips.com,5k-20k,~$58.7B (2024),n/a (public),~$130B mkt cap,high,5,Aramco; Shell; Petronas; bp / Castrol; Eni,"Energy, Industrial & Automotive",US E&P major
106,Equinix,equinix.com,5k-20k,~$8.75B (2024),n/a (public),~$75B mkt cap,high,5,AWS (Amazon); CoreWeave; Core Scientific; Tata Communications; Iron Mountain,"Cloud, Data & AI Software; Cyber, IT & Hardware; Telecom, Media, Electronics & Gaming; Travel, Logistics & Property",data center/colocation
107,Equinor,equinor.com,20k+,~$95B (2024),n/a (public),~$75B mkt cap,high,5,Aramco; Shell; Petronas; bp / Castrol; Eni,"Energy, Industrial & Automotive",Norwegian NOC
108,Hexaware Technologies,hexaware.com,20k+,~$1.4B (2024),n/a (public),~$5B mkt cap,medium,5,DXC Technology; Cognizant; Mphasis; Globant; Brillio,"Cyber, IT & Hardware",IT services
109,Idemitsu,idemitsu.com,5k-20k,~$33B (est.),n/a (public),~$7B mkt cap,medium,5,Petronas; Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Valvoline (Aramco),"Energy, Industrial & Automotive",Japanese lubricants co
110,Infor,infor.com,5k-20k,~$3.4B (est.),n/a (owned by Koch Industries),unknown (~$10B+ est. historically),low,5,SAP; Oracle; Workday; IFS; UKG,"Cloud, Data & AI Software",ERP rival
111,Jaeger-LeCoultre,jaeger-lecoultre.com,1k-5k,unknown (subsidiary of Richemont),n/a (subsidiary of public Richemont),unknown,low,5,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux,"Luxury, Fashion & Beauty",Richemont fine watchmaking
112,Kyndryl,kyndryl.com,20k+,~$16.9B (FY2024),n/a (public),~$7B mkt cap,high,5,Hewlett Packard Enterprise; DXC Technology; Cognizant; Dell Technologies; NTT DATA,"Cyber, IT & Hardware",IT infrastructure services
113,Longines,longines.com,1k-5k,unknown (subsidiary of Swatch Group),n/a (subsidiary of public Swatch Group),unknown,low,5,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); IWC Schaffhausen (Richemont); Breitling,"Luxury, Fashion & Beauty",Swatch Group heritage sport watches
114,LTIMindtree,ltimindtree.com,20k+,~$4.4B (FY2024),n/a (public),~$16B mkt cap,high,5,DXC Technology; Cognizant; Mphasis; Brillio; NTT DATA,"Cyber, IT & Hardware",IT services/consulting
115,ManageEngine PAM360,manageengine.com,1k-5k,unknown (division of Zoho),"n/a (private/bootstrapped, part of Zoho)",unknown,low,5,1Password; Freshworks; ServiceNow; Keeper Security; NinjaOne,"Cyber, IT & Hardware; Cloud, Data & AI Software",unified endpoint management
116,Montblanc,montblanc.com,1k-5k,unknown (subsidiary of Richemont),n/a (subsidiary of public Richemont),unknown,low,5,TAG Heuer (LVMH); Tudor (Rolex Group); IWC Schaffhausen (Richemont); TUMI (Samsonite); Piquadro,"Luxury, Fashion & Beauty",Richemont premium leather goods brand
117,N26,n26.com,1k-5k,unknown,$1.7B raised,~$9B (2021 round; est. lower since),medium,5,"American Express; Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",European neobank rival
118,Nokia,nokia.com,20k+,~$21B (2024),n/a (public),~$30B mkt cap,high,5,Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope); Cato Networks,"Cyber, IT & Hardware",network infrastructure
119,Patek Philippe,patek.com,1k-5k,~$2B+ (est.),n/a (private/family-owned),unknown,medium,5,TAG Heuer (LVMH); Rolex; Richard Mille; Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Independent haute horlogerie
120,Persistent Systems,persistent.com,20k+,~$1.2B (FY2024),n/a (public),~$11B mkt cap,high,5,DXC Technology; Cognizant; Mphasis; Globant; Brillio,"Cyber, IT & Hardware",digital engineering services
121,PTT,pttplc.com,20k+,"~$90B (est., group)",n/a (public),~$27B mkt cap,medium,5,Aramco; Shell; Petronas; Esso (ExxonMobil); Eni,"Energy, Industrial & Automotive",Thai fuel retail brand
122,Ravenol,ravenol.de,250-1k,unknown,n/a (private/bootstrapped),unknown,low,5,Mobil 1 (ExxonMobil); Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",German lubricants brand
123,Reliance Industries,ril.com,20k+,~$108B (FY2024),n/a (public),~$200B mkt cap,high,5,Aramco; Shell; Petronas; Eni; INEOS,"Energy, Industrial & Automotive",Petrochemicals conglomerate
124,SoFi Technologies,sofi.com,1k-5k,~$2.6B (2024),n/a (public),~$18B mkt cap (2025),high,5,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate; Public.com","Payments, Banking & Insurance; Crypto, Trading & Wealth",US neobank/investing rival
125,Tencent Cloud,tencent.com,20k+,"~$92B (2024, Tencent Group)",n/a (public),~$420B mkt cap (Tencent Group),medium,5,AWS (Amazon); Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; PUBG Mobile (Krafton); EA Sports (Electronic Arts),"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",global cloud rival
126,Thales SafeNet Trusted Access,thalesgroup.com,20k+,"~$22B (2024, Thales Group)",n/a (public),~€45B mkt cap (Thales Group),high,5,1Password; Okta; Keeper Security; IndraMind (Indra Sistemas); SEALSQ,"Cyber, IT & Hardware",defense/digital technology
127,Ulysse Nardin,ulysse-nardin.com,250-1k,unknown,n/a (private),unknown,low,5,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux,"Luxury, Fashion & Beauty",Independent Swiss watchmaker
128,Virtusa,virtusa.com,20k+,~$1.5-2B (est.),n/a (taken private by Baring PE Asia),~$2B (2021 buyout),medium,5,DXC Technology; Cognizant; Mphasis; Globant; Brillio,"Cyber, IT & Hardware",digital engineering services
129,VMware (Broadcom),vmware.com,20k+,"~$51.6B (FY2024, Broadcom)",n/a (public),~$800B+ mkt cap (2025),high,5,Hewlett Packard Enterprise; Cisco; Extreme Networks; Cato Networks; Dell Technologies,"Cyber, IT & Hardware",SD-WAN
130,Volvo Car Financial Services,volvocars.com,20k+,"~$38B (2024, Volvo Cars)",n/a (public),~$10B mkt cap,medium,5,Mobilize Financial Services (Renault Group); Ford; General Motors / Cadillac; Alpine / Renault Group; Audi (Volkswagen Group),"Payments, Banking & Insurance; Energy, Industrial & Automotive",Premium automaker
131,Zendesk,zendesk.com,5k-20k,~$1.7B+ (est.),n/a (taken private by Permira/H&F),~$10.2B (2022 buyout),medium,5,Salesforce; Medallia; Freshworks; Genesys; ServiceNow,"Cloud, Data & AI Software",customer service platform rival
132,Alcatel-Lucent Enterprise,al-enterprise.com,1k-5k,~$500-600M (est.),n/a (owned by China Huaxin),unknown,low,4,Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope),"Cyber, IT & Hardware",enterprise wireless networking
133,Autodesk,autodesk.com,5k-20k,~$5.5B (FY2024),n/a (public),~$50B mkt cap,high,4,Ansys (Synopsys); JigSpace; Unity; Siemens,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming; Energy, Industrial & Automotive",game/3D dev tools rival
134,Baidu,baidu.com,20k+,~$18.6B (2024),n/a (public),~$35B mkt cap,high,4,G42; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Claude (Anthropic),"Cloud, Data & AI Software",AI/search rival
135,Bitburger,bitburger.de,1k-5k,~$700M (est.),n/a (private/family-owned),unknown,low,4,"Heineken; Peroni (Asahi Group); Estrella Galicia 0,0 (Hijos de Rivera); Paulaner","Beverages, Food & CPG",German non-alcoholic lager
136,BorgWarner,borgwarner.com,20k+,~$14.0B (2024),n/a (public),~$8.5B mkt cap,high,4,Garrett Motion; Tenneco; NGK Spark Plugs (Niterra); Delphi (PHINIA),"Energy, Industrial & Automotive",Turbocharger/powertrain major
137,British Airways,britishairways.com,20k+,"~$16B (est., BA segment)","n/a (public, IAG)",~€18B mkt cap (IAG),high,4,Qatar Airways; Gulf Air; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",European flag carrier
138,Bulgari,bulgari.com,1k-5k,unknown (subsidiary of LVMH),n/a (subsidiary of public LVMH),unknown,low,4,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont),"Luxury, Fashion & Beauty",LVMH jewellery & watch house
139,Cartier,cartier.com,5k-20k,unknown (subsidiary of Richemont),n/a (subsidiary of public Richemont),unknown,low,4,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont),"Luxury, Fashion & Beauty",Richemont luxury watches & jewellery
140,Cerebras Systems,cerebras.net,250-1k,unknown,~$1.1B+ raised,~$4-8.1B (2024/2025 est.),low,4,G42; Groq; CoreWeave; AMD,"Cloud, Data & AI Software; Cyber, IT & Hardware",AI inference/training chip rival
141,Chime Financial,chime.com,1k-5k,~$1.7B (2024),"n/a (public, 2025 IPO)",~$13B mkt cap (2025 IPO),medium,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",Neobank/consumer fintech rival
142,Coforge,coforge.com,20k+,~$1.4B (FY2024),n/a (public),~$9B mkt cap,medium,4,DXC Technology; Mphasis; Globant; Brillio,"Cyber, IT & Hardware",IT services
143,Current,current.com,250-1k,unknown,~$400M raised,~$2.2B (2021 round),low,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",US neobank rival
144,D-Link,dlink.com,1k-5k,~$400-500M (est.),n/a (public),~$400M mkt cap,low,4,Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope),"Cyber, IT & Hardware",networking hardware
145,Dave Inc.,dave.com,250-1k,~$340M (2024),n/a (public),~$2.5B mkt cap (2025),medium,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",US neobank rival
146,Delta Air Lines,delta.com,20k+,~$61.6B (2024),n/a (public),~$37B mkt cap,high,4,Qatar Airways; Flexjet; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",US global network carrier
147,Emirates,emirates.com,20k+,~$35B (FY2024/25),n/a (state-owned),unknown / n/a,medium,4,Qatar Airways; Gulf Air; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",Dubai flagship long-haul rival
148,Erdinger,erdinger.de,250-1k,~$300-400M (est.),n/a (private/family-owned),unknown,low,4,"Heineken; Peroni (Asahi Group); Estrella Galicia 0,0 (Hijos de Rivera); Paulaner","Beverages, Food & CPG",German wheat beer specialist
149,EY (Ernst & Young),ey.com,20k+,~$51.2B (FY2024),n/a (private partnership),n/a (private),high,4,Cognizant; NTT DATA; Deloitte; PwC,"Cyber, IT & Hardware; Health, Betting & Services",Big Four professional services
150,F5,f5.com,5k-20k,~$2.8B (FY2024),n/a (public),~$14B mkt cap,high,4,Cisco; Extreme Networks; Cato Networks; Palo Alto Networks,"Cyber, IT & Hardware",application delivery/security
151,Geely,geelyauto.com,20k+,"~$34B (2024, est.)",n/a (public),~$18B mkt cap,medium,4,General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group,"Energy, Industrial & Automotive",Chinese automaker group
152,GoTo (LogMeIn),goto.com,1k-5k,~$1B (est.),"n/a (taken private, Francisco Partners/Elliott)",~$4.3B (2020 buyout),medium,4,TeamViewer; 1Password; Keeper Security; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",remote access rival
153,Guess Watches,guess.com,5k-20k,"~$2.9B (FY2024, Guess Inc.)",n/a (public),~$1.2B mkt cap,medium,4,Invicta Watch Group; Pepe Jeans; Hugo Boss (BOSS / HUGO / Hugo Eyewear); Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",American casualwear/fashion brand
154,Hitachi Vantara,hitachivantara.com,5k-20k,unknown (division of Hitachi Ltd.),n/a (subsidiary of public Hitachi),unknown,low,4,Hewlett Packard Enterprise; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",data storage rival
155,HJC Helmets,hjchelmets.com,250-1k,unknown,n/a (private/family-owned),unknown,low,4,Alpinestars; Sparco; Bell Racing Helmets; Schuberth,"Energy, Industrial & Automotive",Helmet manufacturer
156,Infineon Technologies,infineon.com,20k+,~$16B (FY2024),n/a (public),~$38B mkt cap,high,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure microcontrollers
157,ING Group,ing.com,20k+,~$24B (2024),n/a (public),~€53B mkt cap,high,4,Santander; Barclays; UniCredit; Standard Chartered,"Payments, Banking & Insurance",European digital/retail bank rival
158,Intel (Gaudi),intel.com,20k+,~$53.1B (2024),n/a (public),~$95B mkt cap,high,4,Groq; Arm (SoftBank Group); AMD; Snapdragon (Qualcomm),"Cloud, Data & AI Software; Cyber, IT & Hardware",x86 CPU architecture
159,Kaseya (Datto),kaseya.com,1k-5k,~$1B+ (est.),"n/a (PE-owned, Insight Partners/TPG)",~$14B (est. post-Datto),low,4,CrowdStrike; TeamViewer; Rubrik; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",RMM/IT management
160,Kaspersky Password Manager,kaspersky.com,5k-20k,~$752M (2023),"n/a (private, founder-owned)",unknown,medium,4,1Password; Bitdefender; Keeper Security; Palo Alto Networks,"Cyber, IT & Hardware",endpoint AV
161,KPMG,kpmg.com,20k+,~$38.4B (FY2024),n/a (private partnership),n/a (private),high,4,Cognizant; NTT DATA; Deloitte; PwC,"Cyber, IT & Hardware; Health, Betting & Services",Big Four professional services
162,Legrand,legrand.com,20k+,~$9.1B (2024),n/a (public),~€28B mkt cap,high,4,CommScope; Siemens; Schneider Electric; Signify,"Cyber, IT & Hardware; Energy, Industrial & Automotive",Electrical/digital infrastructure
163,Lufthansa,lufthansa.com,20k+,~$41B (2024),n/a (public),~€9B mkt cap,high,4,Qatar Airways; Gulf Air; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",European flag carrier
164,Mazda,mazda.com,20k+,~$34B (est.),n/a (public),~$5.5B mkt cap,high,4,Ford; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group,"Energy, Industrial & Automotive",Mass-market automaker
165,Mistral AI,mistral.ai,250-1k,unknown,~€1.7B raised,~€11.7B (2025 round),medium,4,G42; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Claude (Anthropic),"Cloud, Data & AI Software",AI model rival
166,monday.com,monday.com,1k-5k,~$917M (2024),n/a (public),~$11B mkt cap,high,4,Salesforce; Smartsheet; Freshworks; Atlassian,"Cloud, Data & AI Software",work management rival
167,Monzo,monzo.com,1k-5k,unknown,~£1.2B raised,~$5-6B (2025 round),medium,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",UK neobank rival
168,Morgan Stanley,morganstanley.com,20k+,~$61.8B (2024),n/a (public),~$190B mkt cap,high,4,Goldman Sachs; UBS; Barclays; BNY,"Payments, Banking & Insurance",Global investment bank rival
169,N-able,n-able.com,1k-5k,~$480M (2024),n/a (public),~$1.8B mkt cap,high,4,TeamViewer; 1Password; Keeper Security; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",RMM/security for MSPs
170,NEC Corporation,nec.com,20k+,~$23B (est.),n/a (public),~$20B mkt cap,high,4,HP; Lenovo; Xerox; NTT DATA,"Cyber, IT & Hardware",IT services/systems integration
171,NETGEAR,netgear.com,250-1k,~$540M (2024),n/a (public),~$600M mkt cap,medium,4,Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope),"Cyber, IT & Hardware",wireless networking hardware
172,Netskope,netskope.com,1k-5k,unknown,~$1.4B raised,"~$7.5B (2021 round, IPO expected 2025+)",medium,4,CrowdStrike; Extreme Networks; Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",SSE/SASE platform
173,New Balance,newbalance.com,5k-20k,~$7.8B (2024),n/a (private/family-owned),unknown,medium,4,Puma; adidas; Castore; Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",Performance footwear & apparel
174,NICE,nice.com,5k-20k,~$2.7B (2024),n/a (public),~$11B mkt cap,high,4,Salesforce; Medallia; Freshworks; Genesys,"Cloud, Data & AI Software",contact center platform rival
175,Nutanix,nutanix.com,5k-20k,~$2.15B (FY2024),n/a (public),~$16B mkt cap,high,4,Hewlett Packard Enterprise; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",hyperconverged infrastructure rival
176,NXP Semiconductors,nxp.com,20k+,~$12.6B (2024),n/a (public),~$52B mkt cap,high,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure element/semiconductor security
177,Oris,oris.ch,250-1k,unknown,n/a (private/independent),unknown,low,4,TAG Heuer (LVMH); Tudor (Rolex Group); IWC Schaffhausen (Richemont); Breitling,"Luxury, Fashion & Beauty",Independent Swiss watchmaker
178,Piaget,piaget.com,1k-5k,unknown (subsidiary of Richemont),n/a (subsidiary of public Richemont),unknown,low,4,Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux,"Luxury, Fashion & Beauty",Richemont luxury watches & jewellery
179,Pure Storage,purestorage.com,5k-20k,~$3.1B (FY2025),n/a (public),~$19B mkt cap,high,4,Hewlett Packard Enterprise; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",flash storage rival
180,Rabobank,rabobank.com,20k+,~$15B (est.),"n/a (cooperative, not VC-backed)",n/a (cooperative),medium,4,Santander; Barclays; UniCredit; Standard Chartered,"Payments, Banking & Insurance",European corporate/commercial bank rival
181,Renesas Electronics,renesas.com,20k+,~$10B (est.),n/a (public),~$20B mkt cap,high,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure microcontrollers
182,Robinhood Markets,robinhood.com,1k-5k,~$2.95B (2024),n/a (public),"~$60B mkt cap (2025, volatile)",high,4,"Cash App (Block, Inc.); Revolut; Endstate; Public.com","Payments, Banking & Insurance; Crypto, Trading & Wealth",commission-free trading app
183,Sage,sage.com,5k-20k,~$2.9B (FY2024),n/a (public),~$14B mkt cap,high,4,SAP; Oracle; Workday; IFS,"Cloud, Data & AI Software",ERP/accounting rival
184,San Miguel,sanmiguel.com,20k+,"~$26B (est., group)",n/a (public),~$5.5B mkt cap,medium,4,"Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery); Estrella Galicia 0,0 (Hijos de Rivera)","Beverages, Food & CPG",Spanish/Asian lager brand
185,Seiko,seikowatches.com,5k-20k,"~$1.1B (est., Seiko Holdings)",n/a (public),~$700M mkt cap,medium,4,TAG Heuer (LVMH); Tudor (Rolex Group); Breitling; Invicta Watch Group,"Luxury, Fashion & Beauty",Japanese mainstream watch brand
186,Shoei,shoei.com,1k-5k,~$200M (est.),n/a (public),~$700M mkt cap,medium,4,Alpinestars; Sparco; Bell Racing Helmets; Schuberth,"Energy, Industrial & Automotive",Premium helmet maker
187,SoftBank Group,softbank.jp,20k+,~$47B (est.),n/a (public),~$170B mkt cap,high,4,G42; TWG Motorsports / TWG AI (TWG Global); T-Mobile (Deutsche Telekom); AT&T,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",diversified AI/tech holding rival
