brand,domain,already_in_f1,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
HYCM,hycm.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
IC Markets,icmarkets.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",ECN forex/CFD broker
Juniper Networks,juniper.net,,7,Hewlett Packard Enterprise; Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope); Cato Networks; Palo Alto Networks,"Cyber, IT & Hardware",enterprise networking
Klarna,klarna.com,,7,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",Fintech super-app/BNPL overlap
Liqui Moly,liqui-moly.com,YES,7,Shell; Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",F1 official partner
OANDA,oanda.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",global forex/CFD broker
Panerai,panerai.com,,7,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",Richemont sport-luxury watches
PSA Banque France (Stellantis),stellantis.com,,7,Mobilize Financial Services (Renault Group); Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Payments, Banking & Insurance; Energy, Industrial & Automotive",Multi-brand automaker (Jeep/Chrysler/Peugeot)
Red Line Oil,redlineoil.com,,7,Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",Performance synthetic oil
Skilling,skilling.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",CFD/forex broker
Societe Generale,societegenerale.com,,7,Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; BNY,"Payments, Banking & Insurance",European universal bank rival
Sopra Steria,soprasteria.com,,7,DXC Technology; Cognizant; Globant; Brillio; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
ThinkMarkets,thinkmarkets.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
Tickmill,tickmill.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",ECN forex/CFD broker
Wells Fargo,wellsfargo.com,,7,American Express; Santander; Goldman Sachs; Barclays; Standard Chartered; Mobilize Financial Services (Renault Group); BNY,"Payments, Banking & Insurance",Rewards card issuer
Zenith,zenith-watches.com,,7,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",LVMH chronograph specialist
ADNOC,adnoc.ae,,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",UAE NOC
Adobe Experience Cloud,adobe.com,,6,Salesforce; Microsoft; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Smartsheet; JigSpace; Unity,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",AR authoring tool
Audi,audi.com,YES,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Aston Martin Lagonda,"Energy, Industrial & Automotive",Audi F1 works team
AvaTrade,avatrade.com,YES,6,eToro; Pepperstone; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",Red Bull Racing partner
BMW Group,bmwgroup.com,,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Luxury/performance automaker
Check Point Software,checkpoint.com,,6,CrowdStrike; Cisco; Bitdefender; Extreme Networks; Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",network/cloud security
Chevron,chevron.com,,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",US oil major
CoreWeave,coreweave.com,YES,6,AWS (Amazon); G42; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Groq; Core Scientific; TWG Motorsports / TWG AI (TWG Global),"Cloud, Data & AI Software; Cyber, IT & Hardware",Aston Martin partner
Databricks,databricks.com,,6,Oracle; Alteryx; IBM; VAST Data; Claude (Anthropic); Confluent,"Cloud, Data & AI Software",data/analytics platform rival
ExxonMobil,exxonmobil.com,YES,6,Aramco; Shell; Petronas; bp / Castrol; Eni; INEOS,"Energy, Industrial & Automotive",RBR partner
Ford Motor Credit Company,ford.com,YES,6,Mobilize Financial Services (Renault Group); General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Payments, Banking & Insurance; Energy, Industrial & Automotive",Captive auto-finance rival; Ford is Red Bull Ford Powertrains partner
FxPro,fxpro.com,YES,6,eToro; Pepperstone; AvaTrade; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",McLaren partner
Genpact,genpact.com,,6,DXC Technology; Cognizant; Mphasis; Xerox; NTT DATA; Deloitte,"Cyber, IT & Hardware; Health, Betting & Services",IT/BPO services
Hard Rock Hotels,hardrock.com,YES,6,Marriott Bonvoy (Marriott International); Hilton; The Venetian Resort (Apollo); World of Hyatt (Hyatt Hotels); MGM Rewards (MGM Resorts); FanDuel (Flutter Entertainment),"Travel, Logistics & Property; Health, Betting & Services",Red Bull Racing partner; casino/resort rival
Hublot,hublot.com,,6,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",LVMH fusion/sport luxury watches
Hyundai Motor Group,hyundai.com,,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Mass-market automaker
Libertex,libertex.com,YES,6,eToro; Pepperstone; AvaTrade; FxPro; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",Audi F1 partner
Lucas Oil,lucasoil.com,YES,6,Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul,"Energy, Industrial & Automotive",F2/F3 team sponsor
Mercedes-Benz,mercedes-benz.com,,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Automaker/F1 works team manufacturer
Mobil 1,mobil.com,YES,6,Shell; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",RBR lubricants partner
Nissan,nissan-global.com,,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Mass-market automaker
Omega,omegawatches.com,,6,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",Swatch Group prestige sport watches
OMV,omv.com,,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",Fuel retail rival
Palantir Technologies,palantir.com,,6,G42; Microsoft; Alteryx; IBM; Claude (Anthropic); TWG Motorsports / TWG AI (TWG Global),"Cloud, Data & AI Software",AI/data platform rival
Pepperstone,pepperstone.com,YES,6,eToro; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",Aston Martin partner
PetroChina,petrochina.com.cn,,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",China NOC
QatarEnergy,qatarenergy.qa,,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",Qatari NOC
Ralph Lauren Corporation,ralphlauren.com,,6,LVMH; Louis Vuitton (LVMH); Reiss; Hugo Boss (BOSS / HUGO / Hugo Eyewear); Tommy Hilfiger (PVH Corp); TravisMathew (Topgolf Callaway Brands),"Luxury, Fashion & Beauty",American premium fashion house
Richard Mille,richardmille.com,YES,6,TAG Heuer (LVMH); Rolex; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie; Breitling,"Luxury, Fashion & Beauty",F1 sponsor (Ferrari/McLaren)
Royal Purple,royalpurple.com,,6,Mobil 1 (ExxonMobil); Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",bp-owned synthetic oil brand
Sinopec,sinopec.com,,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",China NOC
Sophos,sophos.com,,6,CrowdStrike; Cisco; Bitdefender; Extreme Networks; Ruckus Networks (CommScope); Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",endpoint security rival
STP,stp.com,,6,Mobil 1 (ExxonMobil); Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",Additives/oil brand
Tesla,tesla.com,,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",EV automaker
UKG,ukg.com,YES,6,SAP; Oracle; Workday; ServiceNow; IFS; Businessolver,"Cloud, Data & AI Software; Payments, Banking & Insurance",workforce management rival
Under Armour,underarmour.com,,6,Puma; adidas; Castore; OGIO (Topgolf Callaway Brands); TravisMathew (Topgolf Callaway Brands); Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",Performance sportswear brand
Vacheron Constantin,vacheron-constantin.com,,6,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Richemont haute horlogerie
Vantage Markets,vantagemarkets.com,YES,6,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group),"Crypto, Trading & Wealth",Ferrari partner
VAST Data,vastdata.com,YES,6,Hewlett Packard Enterprise; Oracle; Rubrik; IBM; NetApp; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",AI data storage rival
Venmo (PayPal),venmo.com,,6,"Visa; Mastercard; Cash App (Block, Inc.); Revolut; MoneyGram; Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",P2P payments rival
XM (XMTrading),xmtrading.com,YES,6,eToro; Pepperstone; AvaTrade; FxPro; Libertex; Vantage Markets,"Crypto, Trading & Wealth",Racing Bulls partner
A. Lange & Sohne,alange-soehne.com,,5,Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Richemont German haute horlogerie
Affirm Holdings,affirm.com,,5,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut","Payments, Banking & Insurance",BNPL rival
Alibaba Cloud,alibabacloud.com,,5,AWS (Amazon); G42; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Claude (Anthropic),"Cloud, Data & AI Software",global cloud rival
Arista Networks,arista.com,,5,Hewlett Packard Enterprise; Cisco; Extreme Networks; Ruckus Networks (CommScope); Cato Networks,"Cyber, IT & Hardware",enterprise/data center networking
Atlassian,atlassian.com,YES,5,Salesforce; Microsoft; Smartsheet; Freshworks; ServiceNow,"Cloud, Data & AI Software",ITSM rival
Audemars Piguet,audemarspiguet.com,,5,TAG Heuer (LVMH); Rolex; Richard Mille; Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Independent haute horlogerie
Bardahl,bardahl.com,,5,Mobil 1 (ExxonMobil); Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",Additives/lubricants brand
BASF,basf.com,YES,5,INEOS; Ecolab; Nouryon; AkzoNobel (Sikkens); Sherwin-Williams,"Energy, Industrial & Automotive",Audi F1 partner (Glasurit parent)
Beck's,becks.com,,5,"Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery); Estrella Galicia 0,0 (Hijos de Rivera); Paulaner","Beverages, Food & CPG",AB InBev non-alcoholic lager
BeyondTrust Remote Support,beyondtrust.com,,5,TeamViewer; 1Password; Okta; Keeper Security; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",privileged remote access rival
bp,bp.com,YES,5,Aramco; Shell; Petronas; Esso (ExxonMobil); Eni,"Energy, Industrial & Automotive",Audi F1 partner
Breguet,breguet.com,,5,Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Swatch Group haute horlogerie
BYD,byd.com,,5,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group,"Energy, Industrial & Automotive",Chinese EV automaker
Caesars Entertainment,caesars.com,,5,Hard Rock International; The Venetian Resort (Apollo); MGM Rewards (MGM Resorts); Betway (Super Group); FanDuel (Flutter Entertainment),"Travel, Logistics & Property; Health, Betting & Services",Casino/resort/entertainment rival
Cohesity,cohesity.com,,5,Hewlett Packard Enterprise; Rubrik; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",data security/backup rival
ConocoPhillips,conocophillips.com,,5,Aramco; Shell; Petronas; bp / Castrol; Eni,"Energy, Industrial & Automotive",US E&P major
CrowdStrike,crowdstrike.com,YES,5,Microsoft; Splunk (Cisco); Rubrik; Bitdefender; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",Mercedes partner
Deloitte,deloitte.com,YES,5,IBM; DXC Technology; Cognizant; NTT DATA; PwC,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",McLaren partner
Equinix,equinix.com,,5,AWS (Amazon); CoreWeave; Core Scientific; Tata Communications; Iron Mountain,"Cloud, Data & AI Software; Cyber, IT & Hardware; Telecom, Media, Electronics & Gaming; Travel, Logistics & Property",data center/colocation
Equinor,equinor.com,,5,Aramco; Shell; Petronas; bp / Castrol; Eni,"Energy, Industrial & Automotive",Norwegian NOC
Extreme Networks,extremenetworks.com,YES,5,Hewlett Packard Enterprise; Cisco; CommScope; Ruckus Networks (CommScope); Cato Networks,"Cyber, IT & Hardware",Audi F1 partner
Freshworks,freshworks.com,YES,5,Salesforce; Medallia; Genesys; ServiceNow; Atlassian,"Cloud, Data & AI Software",ITSM rival
General Motors / Cadillac,gm.com,YES,5,Ford; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Cadillac F1 works team owner
Groq,groq.com,YES,5,Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; CoreWeave; Claude (Anthropic); AMD,"Cloud, Data & AI Software; Cyber, IT & Hardware",AI inference rival
H. Moser & Cie,h-moser.com,YES,5,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; Girard-Perregaux,"Luxury, Fashion & Beauty",F1 sponsor (Alpine)
Hexaware Technologies,hexaware.com,,5,DXC Technology; Cognizant; Mphasis; Globant; Brillio,"Cyber, IT & Hardware",IT services
Honda,honda.com,YES,5,Ford; General Motors / Cadillac; Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Aston Martin power unit partner
Idemitsu,idemitsu.com,,5,Petronas; Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Valvoline (Aramco),"Energy, Industrial & Automotive",Japanese lubricants co
Infor,infor.com,,5,SAP; Oracle; Workday; IFS; UKG,"Cloud, Data & AI Software",ERP rival
IWC Schaffhausen,iwc.com,YES,5,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",F1 sponsor (Mercedes)
Jaeger-LeCoultre,jaeger-lecoultre.com,,5,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux,"Luxury, Fashion & Beauty",Richemont fine watchmaking
Kyndryl,kyndryl.com,,5,Hewlett Packard Enterprise; DXC Technology; Cognizant; Dell Technologies; NTT DATA,"Cyber, IT & Hardware",IT infrastructure services
Las Vegas Sands / The Venetian Resort,venetianlasvegas.com,YES,5,Hard Rock International; Marriott Bonvoy (Marriott International); Hilton; World of Hyatt (Hyatt Hotels); MGM Rewards (MGM Resorts),"Travel, Logistics & Property",Alpine partner; casino/resort rival
Longines,longines.com,,5,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); IWC Schaffhausen (Richemont); Breitling,"Luxury, Fashion & Beauty",Swatch Group heritage sport watches
LTIMindtree,ltimindtree.com,,5,DXC Technology; Cognizant; Mphasis; Brillio; NTT DATA,"Cyber, IT & Hardware",IT services/consulting
ManageEngine PAM360,manageengine.com,,5,1Password; Freshworks; ServiceNow; Keeper Security; NinjaOne,"Cyber, IT & Hardware; Cloud, Data & AI Software",unified endpoint management
MGM Resorts International,mgmresorts.com,YES,5,Hard Rock International; Marriott Bonvoy (Marriott International); Hilton; The Venetian Resort (Apollo); World of Hyatt (Hyatt Hotels),"Travel, Logistics & Property",Haas partner; casino/resort rival
Montblanc,montblanc.com,,5,TAG Heuer (LVMH); Tudor (Rolex Group); IWC Schaffhausen (Richemont); TUMI (Samsonite); Piquadro,"Luxury, Fashion & Beauty",Richemont premium leather goods brand
N26,n26.com,,5,"American Express; Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",European neobank rival
Nokia,nokia.com,,5,Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope); Cato Networks,"Cyber, IT & Hardware",network infrastructure
Nu / Nubank,nubank.com.br,YES,5,"American Express; Cash App (Block, Inc.); Revolut; Santander; Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",Global digital bank rival; Mercedes partner
Palo Alto Networks (Cortex),paloaltonetworks.com,YES,5,CrowdStrike; Cisco; Bitdefender; Extreme Networks; Cato Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",F1 official cybersecurity partner
Patek Philippe,patek.com,,5,TAG Heuer (LVMH); Rolex; Richard Mille; Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Independent haute horlogerie
Pennzoil,pennzoil.com,,5,Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Valvoline (Aramco); Lucas Oil,"Energy, Industrial & Automotive",Shell-owned motor oil brand
Persistent Systems,persistent.com,,5,DXC Technology; Cognizant; Mphasis; Globant; Brillio,"Cyber, IT & Hardware",digital engineering services
Petronas,petronas.com,YES,5,Aramco; Shell; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",Mercedes title partner
PTT,pttplc.com,,5,Aramco; Shell; Petronas; Esso (ExxonMobil); Eni,"Energy, Industrial & Automotive",Thai fuel retail brand
Quaker State,quakerstate.com,,5,Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Valvoline (Aramco); Lucas Oil,"Energy, Industrial & Automotive",Shell-owned motor oil brand
Ravenol,ravenol.de,,5,Mobil 1 (ExxonMobil); Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",German lubricants brand
RebelDot,rebeldot.com,YES,5,Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group),"Cyber, IT & Hardware",Racing Bulls partner
